Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
39900,0,0,0,10,0,0,8.41,0.980000
40000,0,0,0,10,0,0,8.41,0.980000
40100,0,0,0,10,0,0,8.41,0.920000
40200,0,0,0,10,0,0,8.41,0.980000
40300,0,0,0,10,0,0,8.41,1.050000
40400,0,0,0,10,0,0,8.41,0.920000
40500,0,0,0,10,0,0,8.41,0.980000
40600,0,0,0,10,0,0,8.41,1.050000
40700,0,0,0,10,0,0,8.41,1.110000
40800,0,0,0,10,0,0,8.41,1.050000
40900,0,0,0,10,0,0,8.41,1.050000
41000,0,0,0,10,0,0,8.41,1.050000
41100,0,0,0,10,0,0,8.41,1.050000
41200,0,0,0,10,0,0,8.41,1.050000
41300,0,0,0,10,0,0,8.41,0.920000
41400,0,0,0,10,0,0,8.41,1.050000
41500,0,0,0,10,0,0,8.41,0.980000
41600,0,0,0,10,0,0,8.41,1.050000
41700,0,0,0,10,0,0,8.41,0.980000
41800,0,0,0,10,0,0,8.41,1.050000
41900,0,0,0,10,0,0,8.41,0.980000
42000,0,0,0,10,0,0,8.41,0.980000
42100,0,0,0,10,0,0,8.41,0.920000
42200,0,0,0,10,0,0,8.41,1.050000
42300,0,0,0,10,0,0,8.41,1.050000
42400,0,0,0,10,0,0,8.41,1.050000
42500,0,0,0,10,0,0,8.41,0.980000
42600,0,0,0,10,0,0,8.41,0.980000
42700,0,0,0,10,0,0,8.41,0.980000
42800,0,0,0,10,0,0,8.41,0.980000
42900,0,0,0,10,0,0,8.41,0.980000
43000,0,0,0,10,0,0,8.41,1.050000
43100,0,0,0,10,0,0,8.41,0.980000
43200,0,0,0,10,0,0,8.41,1.050000
43300,0,0,0,10,0,0,8.41,1.050000
43400,0,0,0,10,0,0,8.41,1.050000
43500,0,0,0,10,0,0,8.41,1.050000
43600,0,0,0,10,0,0,8.41,1.050000
43700,0,0,0,10,0,0,8.41,1.110000
43800,0,0,0,10,0,0,8.41,1.050000
43900,0,0,0,10,0,0,8.41,1.050000
44000,0,0,0,10,0,0,8.41,1.110000
44100,0,0,0,10,0,0,8.41,1.050000
44200,0,0,0,10,0,0,8.41,1.050000
44300,0,0,0,10,0,0,8.41,1.110000
44400,0,0,0,10,0,0,8.41,1.050000
44500,0,0,0,10,0,0,8.41,1.110000
44600,0,0,0,10,0,0,8.41,1.110000
44700,0,0,0,10,0,0,8.41,0.980000
44800,0,0,0,10,0,0,8.41,1.050000
