Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
36300,0,0,0,7.2,0,0,8.41,0.55
36400,0,0,0,7.2,0,0,8.41,0.49
36500,0,0,0,7.2,0,0,8.41,0.61
36600,0,0,0,7.2,0,0,8.41,0.61
36700,0,0,0,7.2,0,0,8.41,0.55
36800,0,0,0,7.2,0,0,8.41,0.55
36900,0,0,0,7.2,0,0,8.41,0.55
37000,0,0,0,7.2,0,0,8.41,0.61
37100,0,0,0,7.2,0,0,8.41,0.55
37200,0,0,0,7.2,0,0,8.41,0.55
37300,0,0,0,7.2,0,0,8.41,0.61
37400,0,0,0,7.2,0,0,8.41,0.61
37500,0,0,0,7.2,0,0,8.41,0.55
37600,0,0,0,7.2,0,0,8.41,0.55
37700,0,0,0,7.2,0,0,8.41,0.55
37800,0,0,0,7.2,0,0,8.41,0.61
37900,0,0,0,7.2,0,0,8.41,0.55
38000,0,0,0,7.2,0,0,8.41,0.55
38100,0,0,0,7.2,0,0,8.41,0.55
38200,0,0,0,7.2,0,0,8.41,0.55
38300,0,0,0,7.2,0,0,8.41,0.55
38400,0,0,0,7.2,0,0,8.41,0.55
38500,0,0,0,7.2,0,0,8.41,0.55
38600,0,0,0,7.2,0,0,8.41,0.61
38700,0,0,0,7.2,0,0,8.41,0.61
38800,0,0,0,10,0,0,8.41,0.92
38900,0,0,0,10,0,0,8.41,0.92
39000,0,0,0,10,0,0,8.41,0.98
39100,0,0,0,10,0,0,8.41,0.98
39200,0,0,0,10,0,0,8.41,0.98
39300,0,0,0,10,0,0,8.41,1.05
39400,0,0,0,10,0,0,8.41,1.05
39500,0,0,0,10,0,0,8.41,1.05
39600,0,0,0,10,0,0,8.41,0.98
39700,0,0,0,10,0,0,8.41,0.98
39800,0,0,0,10,0,0,8.41,1.05
39900,0,0,0,10,0,0,8.41,0.98
40000,0,0,0,10,0,0,8.41,0.98
40100,0,0,0,10,0,0,8.41,0.92
40200,0,0,0,10,0,0,8.41,0.98
40300,0,0,0,10,0,0,8.41,1.05
40400,0,0,0,10,0,0,8.41,0.92
